row,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
0,177,96,22,141,41,105,122,11,30,70,121,26,9,112,49,109,14,96,22,141,41,105,122,11,30,188
1,178,32,6,128,63,146,46,134,81,117,39,126,56,174,18,116,83,32,6,128,63,146,46,134,81,188
2,179,69,95,158,13,153,55,110,24,66,139,15,132,73,58,145,79,69,95,158,13,153,55,110,24,188
3,180,40,17,113,85,161,2,159,100,90,176,7,34,67,160,52,170,40,17,113,85,161,2,159,100,188
4,181,148,74,163,45,80,97,36,107,25,143,64,125,76,136,1,93,148,74,163,45,80,97,36,107,188
5,182,104,157,27,167,154,68,118,91,53,71,150,29,101,162,23,151,104,157,27,167,154,68,118,91,188
6,183,152,60,171,53,99,133,21,127,16,155,57,175,43,168,89,172,152,60,171,53,99,133,21,127,188
7,184,119,84,114,50,140,86,169,94,120,88,48,166,51,115,72,111,119,84,114,50,140,86,169,94,188
8,185,98,142,42,156,75,129,62,123,65,77,19,82,137,38,149,8,98,142,42,156,75,129,62,123,188
9,186,3,87,165,61,135,47,147,33,102,4,31,164,144,59,173,78,3,87,165,61,135,47,147,33,188
10,187,54,130,10,103,28,37,106,5,35,20,103,92,12,124,44,131,54,130,10,103,28,37,106,5,188
